timestamp,joint_positions,joint_velocities,object_position,target_position,last_action,interpered_actions
1745586297.8971624,"[0.0016660557044480917, 0.00942080288086522, 0.0032600750489437226, 0.02893895675779401, 0.056313619660431496, 0.024160752629582394, 0.08760452941760877, -0.03997209166576795, -0.03997209166576795]","[0.0007805847973943388, 0.0011736784287564358, -0.0015363483306764488, -0.0004586325173391811, 0.0001901464539018794, -0.0013210328030429804, 0.0005736148245856353, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9071984,"[0.0016660557044480917, 0.00942080288086522, 0.0032600750489437226, 0.02893895675779401, 0.056313619660431496, 0.024160752629582394, 0.08760452941760877, -0.03997209166576795, -0.03997209166576795]","[0.0007805847973943388, 0.0011736784287564358, -0.0015363483306764488, -0.0004586325173391811, 0.0001901464539018794, -0.0013210328030429804, 0.0005736148245856353, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9172738,"[0.0016623462170547926, 0.009419408431011966, 0.0032612523577285925, 0.028942117057682015, 0.05631047639646001, 0.02411107183191641, 0.08759912557097072, -0.03997209166576795, -0.03997209166576795]","[-0.0006069196194605004, -0.0006036559587909901, -0.0013884429102616381, 0.0011440773919630413, -0.0014712316566698686, -0.0014237969885288605, -0.0014912594899029366, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.92729,"[0.0016623462170547926, 0.009419408431011966, 0.0032612523577285925, 0.028942117057682015, 0.05631047639646001, 0.02411107183191641, 0.08759912557097072, -0.04004301166700316, -0.04004301166700316]","[-0.0006069196194605004, -0.0006036559587909901, -0.0013884429102616381, 0.0011440773919630413, -0.0014712316566698686, -0.0014237969885288605, -0.0014912594899029366, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.937228,"[0.0016623462170547926, 0.009419408431011966, 0.0032612523577285925, 0.028942117057682015, 0.05631047639646001, 0.02411107183191641, 0.08759912557097072, -0.04004301166700316, -0.04004301166700316]","[-0.0006069196194605004, -0.0006036559587909901, -0.0013884429102616381, 0.0011440773919630413, -0.0014712316566698686, -0.0014237969885288605, -0.0014912594899029366, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9471707,"[0.001662346205027744, 0.00942127979669305, 0.003264009185895157, 0.02894450347722799, 0.05631438906462822, 0.02406528830124799, 0.08760340575379155, -0.04004301166700316, -0.04004301166700316]","[-0.000667147305950264, -0.00010282274051962075, -0.000700459239481165, 0.0005021337229954143, -0.0011505174404177411, -0.0021911531466031237, 0.00035266903313598344, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9574773,"[0.001662346205027744, 0.00942127979669305, 0.003264009185895157, 0.02894450347722799, 0.05631438906462822, 0.02406528830124799, 0.08760340575379155, -0.04004301166700316, -0.04004301166700316]","[-0.000667147305950264, -0.00010282274051962075, -0.000700459239481165, 0.0005021337229954143, -0.0011505174404177411, -0.0021911531466031237, 0.00035266903313598344, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9671638,"[0.001662346205027744, 0.00942127979669305, 0.003264009185895157, 0.02894450347722799, 0.05631438906462822, 0.02406528830124799, 0.08760340575379155, -0.04004301166700316, -0.04004301166700316]","[-0.000667147305950264, -0.00010282274051962075, -0.000700459239481165, 0.0005021337229954143, -0.0011505174404177411, -0.0021911531466031237, 0.00035266903313598344, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.9773014,"[0.001662346205027744, 0.00942127979669305, 0.003264009185895157, 0.02894450347722799, 0.05631438906462822, 0.02406528830124799, 0.08760340575379155, -0.04004301166700316, -0.04004301166700316]","[-0.000667147305950264, -0.00010282274051962075, -0.000700459239481165, 0.0005021337229954143, -0.0011505174404177411, -0.0021911531466031237, 0.00035266903313598344, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.987355,"[0.0016606599994792776, 0.009419302172501198, 0.003263505627989721, 0.028941023157105672, 0.05631362625647773, 0.02402383590082735, 0.08760339626744407, -0.04004301166700316, -0.04004301166700316]","[-0.0009579073665628966, 0.0004105718955179346, -1.0075260925634141e-05, -0.0008563908450079707, -0.00025721763701421255, -0.0015798285290898539, 0.0016265759681309362, -0.0014582573478569719, -0.0014582573478569719]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
